participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
3I6EY,goc,43,gamma,-3.2839028424762695,30.108836033656512,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,44,gamma,-3.9112402647152216,30.85531733498662,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,45,gamma,-4.207760537650653,31.683572369956106,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,46,gamma,-3.6324472076894416,31.868572622860384,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,47,gamma,-2.9146329743896047,31.645214554070904,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,48,gamma,-2.5996420644098777,31.493322074544523,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,49,gamma,-2.3718771405492767,31.23958410366037,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,50,gamma,-1.745227060766993,30.660049534094426,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,51,gamma,-0.7727556327200027,30.292688662294374,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,52,gamma,0.1079043369270245,30.434178326490308,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,53,gamma,0.7545177342570035,30.828914639839148,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,54,gamma,1.2534784040575957,31.098398635933943,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,55,gamma,1.5537720500557555,30.833942746391564,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,56,gamma,1.3660418410161377,30.06540504859748,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,57,gamma,0.8783475101916558,29.633706683004792,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,58,gamma,0.8378670025380544,29.910841374825853,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,59,gamma,0.30105893864187827,8.585000514315116,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,bbs,0,gamma,-0.12110460708122162,31.562566950189773,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,1,gamma,-0.3447213645776266,31.52969666850055,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,2,gamma,-0.561510475340846,31.29556695401026,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,3,gamma,-0.7155241250681108,31.56415800495278,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,4,gamma,-0.8589420840387234,32.41265055951143,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,5,gamma,-1.0485888809663813,33.12036731166565,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,6,gamma,-1.2538209249843106,32.90423213849809,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,7,gamma,-1.396361807679206,32.03911060671013,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,8,gamma,-1.3890906145648927,31.37659748235604,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,9,gamma,-1.1299230068354653,31.157022220041327,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,10,gamma,-0.6581340408166731,30.791923345933938,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,11,gamma,-0.2770662629508891,29.83276992665079,1.7125,8.884374999999999,3.19375,LN,HP,LNP
